First,Last,String1,Date1,Date2,Date3,Date4,Date5,Date6,Integer1,Integer2,Integer3,String2,String3,Time1,Time2,Time3,Time4
Artis,Zboncak,M,07/05/2017,2019/11/09,12-30-2019,10/11/2017 00:00:00,1971-12-09 18:00:00,14/01/1972 06:00,"$1,141,569.59",197,0,Datafono Debito,Product Number: A#ªH-38894028-H#Hç,03:27:38,04:11:23 AM,04:46,044332
Jakayla,Mante,,05/06/2015,2015/08/18,07-09-2018,23/04/2018 00:00:00,1971-12-29 22:00:00,06/01/1972 16:00,"$1,379,371.69",168,1,Datafono Debito,Product Number: BB!/-19879397-!*/!,03:28:32,04:57:49 AM,03:13,045118
Tamiko,Pfeffer,F,24/02/2016,2019/06/17,08-18-2016,03/10/2019 00:00:00,1971-11-27 03:00:00,21/12/1971 16:00,"$1,238,024.98",183,1,Entregado por Facturar,Product Number: BHEE-51598813-¿?#*,03:10:21,04:37:27 AM,03:56,035017
Cori,Leannon,F,30/09/2019,2016/09/26,02-18-2016,02/09/2015 00:00:00,1972-01-24 21:00:00,05/01/1972 11:00,"$1,137,258.41",194,0,Tarjeta Credito,Product Number: GBF?-85257375-C?/ç,03:18:01,04:00:23 AM,03:31,044000
Marcus,Weimann,M,09/01/2020,2017/08/05,11-15-2015,28/03/2015 00:00:00,1972-01-14 11:00:00,21/12/1971 09:00,"$1,108,242.46",160,1,Datafono Debito,Product Number: H!*ç-76736365-ª#?A,03:24:49,03:31:44 AM,04:07,033707
Phillis,Thiel,F,15/05/2019,2019/08/08,08-29-2016,16/06/2017 00:00:00,1971-12-20 00:00:00,18/11/1971 21:00,"$1,708,918.02",172,0,Entregado por Facturar,Product Number: G!C¿-95374050-AADª,04:42:24,04:12:58 AM,04:53,030322
Jakayla,Littel,F,30/03/2016,2019/04/01,08-26-2015,26/02/2016 00:00:00,1971-12-04 10:00:00,16/01/1972 03:00,"$1,797,614.57",178,1,Entregado por Facturar,Product Number: FA¿H-42274295-B***,03:44:08,04:18:11 AM,03:56,032845
Obed,Donnelly,M,05/06/2015,2017/12/30,03-22-2018,11/09/2015 00:00:00,1971-11-23 07:00:00,10/12/1971 18:00,"$1,043,676.85",189,0,Efectivo,Product Number: DEA*-11004319-¿ç#ª,04:32:39,03:44:17 AM,04:51,045553
Rohan,Batz,F,05/01/2020,2017/03/25,02-03-2016,13/08/2018 00:00:00,1971-12-05 03:00:00,29/01/1972 16:00,"$1,498,086.46",171,0,Datafono Debito,Product Number: D¿D#-49618791-?H¡C,03:41:51,04:35:38 AM,03:42,030512
Kylan,Denesik,F,18/07/2019,2018/06/23,12-21-2015,08/10/2015 00:00:00,1972-01-10 12:00:00,01/01/1972 23:00,"$1,162,236.92",175,0,Datafono Debito,Product Number: A#¿?-02208882-?D#F,04:54:36,04:12:57 AM,04:41,030504
